recno,Field,RA1,RA2,DE1,DE2,m1,m2,mcen,Nfib,Ngal,f,Night,Frame,plate,_RA.icrs,_DE.icrs
206,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=206,13 39 30.62,13 45 30.00,-02 15 39.6,-01 44 26.2,14.81,17.61,18.71,112,78,0.72,1992-05-04,143,SSA036-300; 1339-03W,13 42 05.57,-02 30 46.4
207,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=207,13 45 34.39,13 51 35.93,-05 28 01.6,-04 44 53.9,16.03,17.33,18.23,50,40,0.89,1992-10-04,227,SSA022-700; 1339-06E,13 48 11.10,-05 42 56.8
208,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=208,13 39 31.06,13 45 34.39,-05 28 01.6,-04 44 53.9,16.03,17.33,18.23,50,47,0.7,1991-08-04,211,SSA021-600; 1339-06W,13 42 07.61,-05 43 08.4
209,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=209,13 45 44.42,13 52 17.78,-12 42 58.0,-11 16 44.0,14.87,17.57,19.22,112,105,0.51,1994-12-03,214,SSA055-300; 1339-12E,13 48 25.05,-12 57 52.9
210,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=210,13 39 58.15,13 45 44.42,-12 42 58.0,-11 16 44.0,14.87,17.57,19.22,112,89,0.81,1994-11-03,199,SSA054-300; 1339-12W,13 42 38.43,-12 58 04.0
211,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=211,13 57 31.73,14 04 00.00,-02 15 35.3,-01 44 30.1,14.77,17.47,18.62,112,96,0.86,1992-08-04,185,SSA039-300; 1351-03E,14 00 06.87,-02 30 05.8
212,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=212,13 50 59.86,13 57 31.73,-02 15 35.3,-01 44 30.1,14.77,17.47,18.62,112,104,0.93,1992-07-04,171,SSA038-300; 1351-03W,13 53 34.93,-02 30 19.6
213,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=213,13 57 15.53,14 03 04.18,-05 15 43.2,-04 44 22.6,15.83,17.13,17.98,50,49,0.72,1991-04-03,141,SSA013-400; 1351-06E,13 59 52.41,-05 30 14.3
214,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=214,13 51 35.93,13 57 15.53,-05 15 43.2,-04 44 22.6,15.83,17.13,17.98,50,31,0.92,1991-03-03,127,SSA012-400; 1351-06W,13 54 12.68,-05 30 26.3
215,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=215,13 57 16.34,14 04 01.10,-12 43 23.5,-11 17 00.2,14.95,17.65,19.2,112,109,0.76,1994-09-04,163,SSA071-300; 1351-12E,13 59 57.64,-12 57 54.5
216,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=216,13 52 17.78,13 57 16.34,-12 43 23.5,-11 17 00.2,14.95,17.65,19.2,112,93,0.57,1994-08-04,149,SSA070-300; 1351-12W,13 54 58.80,-12 58 05.1
217,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=217,14 09 30.10,14 14 59.52,-02 15 48.6,-01 44 38.8,14.78,17.58,18.68,112,89,0.92,1993-06-03,131,SSA050-400; 1403-03E,14 12 05.37,-02 29 52.0
218,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=218,14 04 00.00,14 09 30.10,-02 15 48.6,-01 44 38.8,14.78,17.58,18.68,112,94,0.85,1992-09-04,197,SSA040-200; 1403-03W,14 06 35.21,-02 30 04.8
219,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=219,14 09 34.92,14 15 36.55,-05 15 07.6,-04 44 13.2,16.07,17.37,18.37,50,48,0.83,1992-01-04,127,SSA019-400; 1403-06E,14 12 12.08,-05 29 10.8
220,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=220,14 03 31.75,14 09 34.92,-05 15 07.6,-04 44 13.2,16.07,17.37,18.37,50,43,0.64,1991-12-04,112,SSA018-400; 1403-06W,14 06 08.77,-05 29 24.8
221,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=221,14 09 38.64,14 16 16.68,-12 43 01.2,-11 16 44.4,14.98,17.68,19.33,112,78,0.86,1995-02-03,239,SSA057-300; 1403-12E,14 12 20.64,-12 57 04.2
222,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=222,14 04 01.10,14 09 38.64,-12 43 01.2,-11 16 44.4,14.98,17.68,19.33,112,94,0.66,1995-01-03,225,SSA056-300; 1403-12W,14 06 42.79,-12 57 17.3
223,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=223,14 21 24.12,14 27 57.67,-02 15 38.9,-01 44 41.3,15.01,17.71,18.86,112,108,0.91,1994-10-03,188,SSA033-400; 1415-03E,14 23 59.50,-02 29 13.1
224,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=224,14 14 59.52,14 21 24.12,-02 15 38.9,-01 44 41.3,15.01,17.71,18.86,112,103,0.91,1993-07-03,145,SSA051-400; 1415-03W,14 17 34.84,-02 29 29.1
225,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=225,14 21 07.15,14 27 06.41,-05 40 51.2,-04 44 08.5,16.06,17.36,18.21,50,17,0.86,1990-02-04,188,SSA006-500; 1415-06E,14 23 44.87,-05 54 26.1
226,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=226,14 15 36.55,14 21 07.15,-05 40 51.2,-04 44 08.5,16.06,17.36,18.21,50,36,0.82,1992-02-04,141,SSA018-800; 1415-06W,14 18 14.13,-05 54 39.8
227,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=227,14 20 47.78,14 27 00.82,-12 43 19.9,-11 17 07.1,14.97,17.77,19.27,112,35,0.9,1994-11-04,191,SSA073-300; 1415-12E,14 23 30.40,-12 56 55.5
228,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=228,14 16 16.68,14 20 47.78,-12 43 19.9,-11 17 07.1,14.97,17.77,19.27,112,42,0.93,1994-10-04,177,SSA072-300; 1415-12W,14 18 59.05,-12 57 06.8
229,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=229,14 33 31.15,14 39 00.34,-02 15 12.2,-01 44 10.7,16.14,17.44,18.44,50,41,0.88,1991-04-04,161,SSA020-400; 1427-03E,14 36 06.64,-02 28 14.3
230,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=230,14 27 57.67,14 33 31.15,-02 15 12.2,-01 44 10.7,16.14,17.44,18.44,50,26,0.83,1991-03-04,146,SSA019-800; 1427-03W,14 30 33.11,-02 28 29.3
231,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=231,14 33 45.29,14 39 35.18,-05 15 08.6,-04 19 04.8,16.1,17.4,18.3,50,26,0.76,1991-06-04,189,SSA020-800; 1427-06E,14 36 22.99,-05 28 10.1
232,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=232,14 27 28.70,14 33 45.29,-05 15 08.6,-04 19 04.8,16.1,17.4,18.3,50,26,0.86,1991-05-04,175,SSA021-400; 1427-06W,14 30 06.26,-05 28 26.9
233,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=233,14 33 38.88,14 40 15.60,-12 44 36.2,-11 15 47.2,14.89,17.69,18.79,112,92,0.86,1993-09-03,174,SSA053-400; 1427-12E,14 36 22.19,-12 57 37.9
234,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=234,14 27 00.82,14 33 38.88,-12 44 36.2,-11 15 47.2,14.89,17.69,18.79,112,66,0.81,1993-08-03,160,SSA052-400; 1427-12W,14 29 43.79,-12 57 55.7
235,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=235,14 45 25.46,14 51 57.19,-02 15 42.5,-01 44 46.0,15.11,17.81,18.96,112,108,0.91,1992-04-04,132,SSA035-400; 1439-03E,14 48 01.07,-02 28 11.0
236,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=236,14 39 00.34,14 45 25.46,-02 15 42.5,-01 44 46.0,15.11,17.81,18.96,112,107,0.72,1992-03-04,118,SSA034-400; 1439-03W,14 41 35.89,-02 28 29.4
237,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=237,14 45 18.74,14 51 06.48,-05 15 34.2,-04 44 08.9,16.18,17.48,18.33,50,42,0.62,1989-06-05,123,SSA004-500; 1439-06E,14 47 56.68,-05 28 03.0
238,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=238,14 39 35.18,14 45 18.74,-05 15 34.2,-04 44 08.9,16.18,17.48,18.33,50,45,0.66,1989-05-05,110,SSA003-500; 1439-06W,14 42 13.00,-05 28 19.4
239,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=239,14 45 30.67,14 51 57.58,-12 43 17.8,-11 17 12.5,15.02,17.92,19.37,112,103,0.67,1994-07-04,138,SSA069-400; 1439-12E,14 48 14.56,-12 55 45.9
240,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=240,14 40 15.60,14 45 30.67,-12 43 17.8,-11 17 12.5,15.02,17.92,19.37,112,70,0.62,1994-06-04,124,SSA068-400; 1439-12W,14 42 59.23,-12 56 01.0
241,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=241,14 57 35.62,15 04 16.87,-12 44 36.2,-11 15 41.4,14.8,17.6,18.7,112,78,0.83,1992-06-04,160,SSA037-400; 1451-12E,15 00 20.11,-12 56 28.1
242,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=242,14 51 57.58,14 57 35.62,-12 44 36.2,-11 15 41.4,14.8,17.6,18.7,112,62,0.86,1994-11-03,203,SSA054-400; 1451-12W,14 54 41.81,-12 56 45.3
243,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=243,14 57 11.54,15 03 02.04,-02 13 37.2,-01 44 22.9,15.96,17.26,18.11,50,25,0.97,1990-01-04,177,SSA013-800; 1451-03E,14 59 47.22,-02 25 30.5
244,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=244,14 51 57.19,14 57 11.54,-02 13 37.2,-01 44 22.9,15.96,17.26,18.11,50,37,0.7,1991-07-03,163,SSA012-800; 1451-03W,14 54 32.83,-02 25 46.4
245,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=245,14 57 34.42,15 03 28.32,-05 15 09.4,-04 44 24.4,16.13,17.43,18.43,50,33,0.75,1991-07-04,203,SSA022-400; 1451-06E,15 00 12.60,-05 27 01.5
246,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=246,14 51 29.76,14 57 34.42,-05 15 09.4,-04 44 24.4,16.13,17.43,18.43,50,30,0.66,1991-09-04,221,SSA022-600; 1451-06W,14 54 07.82,-05 27 20.0
247,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=247,15 09 30.22,15 15 30.17,-02 15 47.9,-01 44 46.0,14.76,17.56,18.66,112,100,0.72,1992-08-04,189,SSA039-400; 1503-03E,15 12 06.03,-02 27 02.4
248,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=248,15 03 02.04,15 09 30.22,-02 15 47.9,-01 44 46.0,14.76,17.56,18.66,112,63,0.92,1992-07-04,174,SSA038-400; 1503-03W,15 05 37.80,-02 27 23.1
249,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=249,15 09 19.63,15 15 00.38,-05 15 31.3,-04 44 14.6,16.04,17.34,18.29,50,47,0.77,1991-08-04,214,SSA021-700; 1503-06E,15 11 58.03,-05 26 46.3
250,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=250,15 03 28.32,15 09 19.63,-05 15 31.3,-04 44 14.6,16.04,17.34,18.29,50,44,0.61,1992-10-04,230,SSA022-800; 1503-06W,15 06 06.61,-05 27 05.0
251,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=251,15 09 32.42,15 15 57.79,-12 43 23.5,-11 17 19.0,15.04,17.94,19.39,112,92,0.78,1994-09-04,166,SSA071-400; 1503-12E,15 12 17.44,-12 54 37.7
252,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=252,15 04 16.87,15 09 32.42,-12 43 23.5,-11 17 19.0,15.04,17.94,19.39,112,90,0.69,1994-08-04,152,SSA070-400; 1503-12W,15 07 01.66,-12 54 54.5
253,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=253,15 21 30.82,15 27 30.02,-02 15 22.0,-01 44 16.4,14.89,17.69,18.74,112,62,0.91,1995-02-03,242,SSA057-400; 1515-03E,15 24 06.71,-02 25 56.7
254,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=254,15 15 30.17,15 21 30.82,-02 15 22.0,-01 44 16.4,14.89,17.69,18.79,112,66,0.91,1992-09-04,200,SSA040-300; 1515-03W,15 18 06.02,-02 26 16.9
255,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=255,15 21 24.53,15 27 50.71,-12 21 13.0,-11 16 40.8,14.92,17.92,19.42,112,47,0.82,1995-01-03,228,SSA056-400; 1515-12E,15 24 09.71,-12 31 47.9
256,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=256,15 15 57.79,15 21 24.53,-12 21 13.0,-11 16 40.8,14.92,17.92,19.42,112,44,0.72,1994-12-03,217,SSA055-400; 1515-12W,15 18 42.75,-12 32 06.1
257,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=257,21 07 58.73,21 15 11.04,-39 46 18.8,-38 16 13.8,15.03,17.54,18.48,112,79,0.54,1991-02-10,103,SSA023-100; 2100-39E,21 11 10.03,-39 34 01.0
258,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=258,21 00 40.22,21 07 58.73,-39 46 18.8,-38 16 13.8,16.03,17.33,18.18,50,41,0.3,1990-09-10,104,SSA014-100; 2100-39W,21 03 52.80,-39 34 22.9
259,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=259,21 12 04.30,21 20 22.70,-42 44 31.9,-41 40 38.3,14.79,17.59,18.69,112,80,0.85,1993-10-09,122,SSA043-100; 2100-42E,21 15 18.91,-42 32 02.0
260,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=260,21 03 46.03,21 12 04.30,-42 44 31.9,-41 40 38.3,14.79,17.59,18.69,112,103,0.8,1993-08-10,103,SSA058-100; 2100-42W,21 07 02.29,-42 32 26.5
261,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=261,21 09 09.60,21 17 33.60,-45 45 00.0,-44 16 12.0,14.93,17.63,18.88,112,99,0.41,1993-10-10,122,SSA058-300; 2100-45E,21 12 29.38,-45 32 38.5
262,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=262,21 00 45.60,21 09 09.60,-45 45 00.0,-44 16 12.0,14.93,17.63,18.88,112,96,0.64,1993-09-10,111,SSA059-100; 2100-45W,21 04 07.20,-45 33 03.6
263,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=263,21 32 36.58,21 41 11.35,-39 44 43.1,-38 16 16.7,14.93,17.63,18.78,112,97,0.65,1991-03-10,114,SSA025-100; 2114-39E,21 35 43.25,-39 31 16.8
264,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=264,21 23 55.27,21 32 36.58,-39 44 43.1,-38 16 16.7,14.93,17.63,18.78,112,89,0.68,1993-12-09,150,SSA045-100; 2114-39M,21 27 03.60,-39 31 39.9
265,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=265,21 15 11.04,21 23 55.27,-39 44 43.1,-38 16 16.7,14.93,17.63,18.78,112,80,0.8,1992-09-09,111,SSA024-100; 2114-39W,21 18 21.00,-39 32 04.3
266,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=266,21 33 38.40,21 42 40.80,-45 43 48.0,-44 15 36.0,15.0,17.7,19.0,112,101,0.66,1994-03-10,128,SSA076-100; 2115-45E,21 36 52.49,-45 30 18.9
267,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=267,21 17 33.60,21 25 02.40,-45 43 48.0,-44 15 36.0,15.0,17.7,19.0,112,75,0.78,1994-01-10,102,SSA074-100; 2115-45W,21 20 51.46,-45 31 02.3
268,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=268,21 28 49.03,21 35 44.57,-42 44 55.3,-41 16 05.5,14.89,17.69,18.79,112,80,0.52,1994-01-09,164,SSA046-100; 2120-42E,21 32 00.18,-42 31 38.9
269,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=269,21 20 43.92,21 28 49.03,-42 44 55.3,-41 16 05.5,14.89,17.69,18.79,112,84,0.63,1993-11-09,136,SSA044-100; 2120-42W,21 23 56.77,-42 32 00.8
270,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=270,21 52 50.28,22 01 22.10,-42 44 19.3,-41 15 30.2,14.82,17.52,18.82,112,77,0.81,1994-01-10,161,SSA062-100; 2135-42E,21 55 56.10,-42 30 03.7
271,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=271,21 43 45.19,21 52 50.28,-42 44 19.3,-41 15 30.2,14.82,17.52,18.82,112,84,0.85,1993-12-10,147,SSA061-100; 2135-42M,21 46 53.06,-42 30 25.0
272,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=272,21 35 44.57,21 43 45.19,-42 44 19.3,-41 15 30.2,14.82,17.52,18.82,112,102,0.84,1993-11-10,133,SSA060-100; 2135-42W,21 38 54.21,-42 30 44.9
273,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=273,21 48 15.12,21 55 09.46,-39 44 25.1,-38 15 41.0,15.95,17.25,18.1,50,28,0.83,1989-06-05,126,SSA004-600; 2140-39E,21 51 18.67,-39 30 20.1
274,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=274,21 41 11.35,21 48 15.12,-39 44 25.1,-38 15 41.0,15.95,17.25,18.1,50,32,0.75,1990-05-09,102,SSA007-100; 2140-39W,21 44 16.32,-39 30 37.1
275,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=275,21 47 55.20,21 55 43.20,-45 46 48.0,-44 16 12.0,16.16,17.46,18.31,50,38,0.53,1990-11-10,115,SSA015-100; 2140-45E,21 51 05.85,-45 32 43.7
276,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=276,21 42 40.80,21 47 55.20,-45 46 48.0,-44 16 12.0,16.16,17.46,18.31,50,27,0.37,1990-12-10,126,SSA014-500; 2140-45W,21 45 52.75,-45 32 56.2
277,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=277,22 12 40.30,22 21 11.04,-39 44 26.9,-38 15 58.7,14.95,17.65,18.8,112,108,0.59,1992-08-09,101,SSA042-200; 2154-39E,22 15 38.72,-39 29 29.4
278,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=278,22 03 54.89,22 12 40.30,-39 44 26.9,-38 15 58.7,14.95,17.65,18.8,112,88,0.65,1991-05-10,141,SSA027-100; 2154-39M,22 06 55.19,-39 29 47.1
279,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=279,21 55 09.46,22 03 54.89,-39 44 26.9,-38 15 58.7,14.95,17.65,18.8,112,67,0.74,1991-04-10,128,SSA026-100; 2154-39W,21 58 11.59,-39 30 06.1
280,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=280,22 13 48.00,22 20 50.40,-45 43 48.0,-44 15 36.0,14.94,17.64,18.94,112,79,0.83,1994-06-10,167,SSA079-100; 2155-45E,22 16 51.87,-45 28 48.2
281,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=281,22 05 02.40,22 13 48.00,-45 43 48.0,-44 15 36.0,14.94,17.64,18.94,112,83,0.62,1994-05-10,153,SSA078-100; 2155-45M,22 08 08.59,-45 29 05.8
282,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=282,21 55 43.20,22 05 02.40,-45 43 48.0,-44 15 36.0,14.94,17.64,18.94,112,76,0.6,1994-04-10,139,SSA077-100; 2155-45W,21 58 51.81,-45 29 25.8
283,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=283,22 08 40.54,22 15 43.92,-42 45 11.2,-41 16 20.6,14.76,17.56,18.66,112,53,0.78,1993-03-09,192,SSA048-100; 2200-42E,22 11 42.67,-42 30 21.6
284,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=284,22 01 22.10,22 08 40.54,-42 45 11.2,-41 16 20.6,14.76,17.56,18.66,112,73,0.91,1994-02-09,178,SSA047-100; 2200-42W,22 04 25.96,-42 30 36.7
285,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=285,22 32 57.19,22 41 22.82,-42 44 02.4,-41 14 47.0,14.83,17.53,18.83,112,106,0.65,1993-04-10,203,SSA065-100; 2215-42E,22 35 53.38,-42 28 29.0
286,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=286,22 23 51.84,22 32 57.19,-42 44 02.4,-41 14 47.0,14.83,17.53,18.83,112,106,0.67,1993-03-10,189,SSA064-100; 2215-42M,22 26 50.28,-42 28 44.2
287,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=287,22 15 43.92,22 23 51.84,-42 44 02.4,-41 14 47.0,14.83,17.53,18.83,112,102,0.83,1994-02-10,175,SSA063-100; 2215-42W,22 18 44.34,-42 28 59.0
288,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=288,22 28 12.58,22 35 09.96,-39 44 25.1,-38 15 25.9,16.15,17.45,18.3,50,44,0.35,1989-01-10,132,SSA009-100; 2220-39E,22 31 07.59,-39 28 59.5
289,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=289,22 21 11.04,22 28 12.58,-39 44 25.1,-38 15 25.9,16.15,17.45,18.3,50,45,0.62,1990-06-09,118,SSA008-100; 2220-39W,22 24 07.61,-39 29 11.7
290,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=290,22 29 12.00,22 37 36.00,-45 44 24.0,-44 15 36.0,14.98,17.78,19.08,112,90,0.61,1993-11-09,139,SSA044-200; 2220-45E,22 32 11.71,-45 28 56.6
291,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=291,22 20 50.40,22 29 12.00,-45 44 24.0,-44 15 36.0,14.98,17.78,19.08,112,90,0.83,1993-10-09,125,SSA043-200; 2220-45W,22 23 52.39,-45 29 11.1
292,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=292,22 52 46.75,23 01 11.83,-39 44 55.7,-38 16 17.0,14.83,17.53,18.68,112,100,0.73,1991-09-10,185,SSA031-100; 2234-39E,22 55 36.19,-39 28 54.3
293,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=293,22 43 52.30,22 52 46.75,-39 44 55.7,-38 16 17.0,14.83,17.53,18.68,112,103,0.83,1994-01-09,167,SSA046-200; 2234-39M,22 46 43.78,-39 29 06.0
294,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=294,22 35 09.96,22 43 52.30,-39 44 55.7,-38 16 17.0,14.83,17.53,18.68,112,105,0.52,1991-07-10,160,SSA029-100; 2234-39W,22 38 03.42,-39 29 18.8
295,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=295,22 53 52.80,23 02 38.40,-45 44 24.0,-44 15 00.0,15.06,17.76,19.06,112,105,0.47,1994-02-10,118,SSA075-200; 2235-45E,22 56 45.58,-45 28 21.2
