recno,Field,RA1,RA2,DE1,DE2,m1,m2,mcen,Nfib,Ngal,f,Night,Frame,plate,_RA.icrs,_DE.icrs
139,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=139,11 33 28.37,11 39 58.06,-02 15 49.3,-01 45 04.3,14.88,17.58,18.73,112,105,0.52,1992-03-04,110,SSA034-200; 1127-03E,11 36 01.81,-02 32 25.5
140,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=140,11 27 00.17,11 33 28.37,-02 15 49.3,-01 45 04.3,14.88,17.58,18.73,112,109,0.71,1994-10-03,182,SSA033-200; 1127-03W,11 29 33.54,-02 32 22.0
141,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=141,11 33 11.81,11 39 05.69,-05 28 18.8,-04 44 28.0,16.01,17.31,18.16,50,36,0.93,1990-01-04,168,SSA013-500; 1127-06E,11 35 44.83,-05 44 54.8
142,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=142,11 27 38.09,11 33 11.81,-05 28 18.8,-04 44 28.0,16.01,17.31,18.16,50,48,0.69,1991-07-03,154,SSA012-500; 1127-06W,11 30 10.95,-05 44 51.9
143,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=143,11 33 37.63,11 39 01.63,-12 43 14.2,-11 16 28.6,15.01,17.71,19.26,112,102,0.45,1994-12-04,202,SSA067-400; 1127-12E,11 36 09.72,-12 59 50.5
144,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=144,11 28 18.50,11 33 37.63,-12 43 14.2,-11 16 28.6,15.01,17.71,19.26,112,99,0.51,1994-11-04,185,SSA073-100; 1127-12W,11 30 50.23,-12 59 47.7
145,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=145,11 45 26.45,11 51 31.18,-02 15 49.7,-01 44 54.2,14.81,17.61,18.71,112,110,0.43,1992-06-04,154,SSA037-200; 1139-03E,11 48 00.04,-02 32 30.3
146,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=146,11 39 58.06,11 45 26.45,-02 15 49.7,-01 44 54.2,14.81,17.61,18.71,112,97,0.57,1992-05-04,140,SSA036-200; 1139-03W,11 42 31.58,-02 32 28.6
147,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=147,11 45 30.91,11 51 34.61,-05 15 37.1,-04 44 58.9,16.08,17.38,18.38,50,47,0.52,1991-04-04,154,SSA020-200; 1139-06E,11 48 04.30,-05 32 17.7
148,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=148,11 39 28.82,11 45 30.91,-05 15 37.1,-04 44 58.9,14.98,17.68,18.83,112,109,0.74,1992-04-04,126,SSA035-200; 1139-06W,11 42 02.04,-05 32 15.8
149,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=149,11 45 41.33,11 52 20.90,-12 43 01.6,-11 16 20.3,15.0,17.7,19.35,112,109,0.68,1993-08-03,153,SSA052-200; 1139-12E,11 48 14.22,-12 59 42.3
150,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=150,11 39 01.63,11 45 41.33,-12 43 01.6,-11 16 20.3,15.0,17.7,19.35,112,110,0.54,1993-07-03,139,SSA051-200; 1139-12W,11 41 34.07,-12 59 40.2
151,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=151,11 57 30.24,12 03 42.31,-02 15 26.3,-01 44 51.4,15.01,17.71,18.86,112,95,0.9,1992-08-04,182,SSA039-200; 1151-03E,12 00 03.98,-02 32 08.5
152,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=152,11 51 31.18,11 57 30.24,-02 15 26.3,-01 44 51.4,15.01,17.71,18.86,112,88,0.86,1992-07-04,168,SSA038-200; 1151-03W,11 54 04.85,-02 32 08.0
153,http://vizier.u-strasbg.fr/viz-bin/VizieR-5?-info=XML&-out.add=.&-source=VII/203/fields&recno=153,11 57 09.77,12 03 07.08,-05 15 38.9,-04 44 33.0,16.04,17.34,18.19,50,46,0.58,1991-03-03,121,SSA012-200; 1151-06E,11 59 43.48,-05 32 21.1
